advid,name,sub_brand,dept,dept_name,month,spend_eur,clics,applies,starts
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-01,506,1350,215,287
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-02,909,2577,436,673
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-03,906,2524,412,660
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-04,900,2195,369,529
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-05,901,3386,450,658
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-06,914,2611,366,557
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-07,900,2439,335,491
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-08,895,2743,342,561
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-09,900,2946,353,513
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-10,900,3035,380,529
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-11,900,2866,364,498
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2024-12,900,1102,166,257
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-01,868,1668,270,368
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-02,712,1333,192,296
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-03,400,776,77,156
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-04,300,383,50,94
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-05,300,1002,166,248
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-06,300,407,82,105
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-07,300,230,53,66
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-08,300,273,58,77
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-09,300,473,103,116
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-10,300,551,108,141
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-11,250,506,105,134
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2025-12,250,690,131,174
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-01,250,861,131,166
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-02,250,797,172,208
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-03,350,876,177,231
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-04,515,1292,290,335
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-05,300,775,197,232
49288585,Babychou Rueil,brand,92,Hauts-de-Seine,2026-06,277,609,169,197
7987020,Babychou Versailles,brand,78,Yvelines,2024-01,310,868,136,173
7987020,Babychou Versailles,brand,78,Yvelines,2024-02,124,848,148,189
7987020,Babychou Versailles,brand,78,Yvelines,2024-03,433,1624,328,417
7987020,Babychou Versailles,brand,78,Yvelines,2024-04,378,1264,145,212
7987020,Babychou Versailles,brand,78,Yvelines,2024-05,502,1133,193,276
7987020,Babychou Versailles,brand,78,Yvelines,2024-06,502,1152,256,370
7987020,Babychou Versailles,brand,78,Yvelines,2024-07,602,1036,224,316
7987020,Babychou Versailles,brand,78,Yvelines,2024-08,348,685,154,234
7987020,Babychou Versailles,brand,78,Yvelines,2024-09,610,1370,310,461
7987020,Babychou Versailles,brand,78,Yvelines,2024-10,430,870,195,311
7987020,Babychou Versailles,brand,78,Yvelines,2024-11,482,1214,226,367
7987020,Babychou Versailles,brand,78,Yvelines,2024-12,431,831,129,216
7987020,Babychou Versailles,brand,78,Yvelines,2025-01,404,1135,171,249
7987020,Babychou Versailles,brand,78,Yvelines,2025-02,511,1255,193,303
7987020,Babychou Versailles,brand,78,Yvelines,2025-03,233,750,98,141
7987020,Babychou Versailles,brand,78,Yvelines,2025-04,179,324,47,69
7987020,Babychou Versailles,brand,78,Yvelines,2025-05,907,1015,145,214
7987020,Babychou Versailles,brand,78,Yvelines,2025-06,1410,1405,235,320
7987020,Babychou Versailles,brand,78,Yvelines,2025-07,1273,987,111,174
7987020,Babychou Versailles,brand,78,Yvelines,2025-08,1382,1263,165,244
7987020,Babychou Versailles,brand,78,Yvelines,2025-09,1685,2003,227,335
7987020,Babychou Versailles,brand,78,Yvelines,2025-10,331,839,112,158
7987020,Babychou Versailles,brand,78,Yvelines,2025-11,828,2072,381,534
7987020,Babychou Versailles,brand,78,Yvelines,2025-12,307,856,137,169
7987020,Babychou Versailles,brand,78,Yvelines,2026-01,290,1489,206,272
7987020,Babychou Versailles,brand,78,Yvelines,2026-02,284,1264,178,228
7987020,Babychou Versailles,brand,78,Yvelines,2026-03,362,1475,201,267
7987020,Babychou Versailles,brand,78,Yvelines,2026-04,469,1445,293,341
7987020,Babychou Versailles,brand,78,Yvelines,2026-05,599,1560,247,315
7987020,Babychou Versailles,brand,78,Yvelines,2026-06,339,565,80,92
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-01,300,1844,504,607
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-02,407,2640,760,888
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-03,402,3006,873,1041
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-04,182,1180,389,439
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-05,268,1081,356,400
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-06,792,1706,503,614
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-07,385,871,229,307
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-08,322,900,267,360
3710472,Babychou Boulogne,brand,92,Hauts-de-Seine,2024-09,500,2014,551,645
