advid,name,sub_brand,dept,dept_name,month,spend_eur,clics,applies,starts
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-01,609,3651,384,539
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-02,0,0,0,0
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-03,1841,2459,313,453
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-04,600,1987,287,385
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-05,612,1362,174,245
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-06,625,2522,220,323
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-07,895,1842,183,269
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-08,1954,1930,196,288
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-09,3000,2133,256,353
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-10,1987,1886,306,424
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-11,996,2089,324,456
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2024-12,989,2805,380,534
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-01,571,2706,381,491
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-02,590,1723,248,341
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-03,600,1903,325,439
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-04,597,1625,252,337
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-05,600,1610,241,318
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-06,600,1328,145,201
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-07,1000,2237,261,338
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-08,1996,3207,379,502
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-09,3001,5281,673,928
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-10,1994,4293,531,740
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-11,873,2596,341,461
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2025-12,1000,2600,388,488
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-01,597,5245,800,1014
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-02,600,4949,743,970
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-03,608,5180,748,965
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-04,592,5347,812,1066
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-05,600,5080,575,748
1612502,Family Sphere Nancy,brand,54,Meurthe-et-Moselle,2026-06,544,4403,545,657
26160516,Family Sphere Levallois,brand,92,Hauts-de-Seine,2024-01,1300,3278,719,965
26160516,Family Sphere Levallois,brand,92,Hauts-de-Seine,2024-02,724,2310,559,746
26160516,Family Sphere Levallois,brand,92,Hauts-de-Seine,2024-03,2408,3007,710,923
